Density,Method,Accuracy
0.2345065065065065,Spectral Clustering,1.0
0.2345065065065065,Node2vec,0.305
0.2345065065065065,LINE,0.995
0.2345065065065065,GraRep,0.99
0.26704304304304305,Spectral Clustering,1.0
0.26704304304304305,Node2vec,0.31
0.26704304304304305,LINE,0.995
0.26704304304304305,GraRep,1.0
0.29997997997998,Spectral Clustering,1.0
0.29997997997998,Node2vec,0.425
0.29997997997998,LINE,0.99
0.29997997997998,GraRep,0.995
0.3327947947947948,Spectral Clustering,1.0
0.3327947947947948,Node2vec,0.345
0.3327947947947948,LINE,0.99
0.3327947947947948,GraRep,1.0
0.36711511511511513,Spectral Clustering,1.0
0.36711511511511513,Node2vec,0.54
0.36711511511511513,LINE,0.995
0.36711511511511513,GraRep,1.0
